sn_no ,english-hindi language,Hindi_Language,English_Language,Answers_from_ChatGpt_in_english,Hindi_Language_Answers,Tags,intent_id,category,problem_type,crop_stage,season,damage_level,local_terms,decision_logic
59,Makke me fall army worm se kasie bache,मक्के में फॉल आर्मी वर्म से कैसे बचें,How to prevent fall armyworm infestation in maize?,"To prevent fall armyworm (FAW) infestation in maize, always start with clean land preparation and crop rotation. Avoid monocropping of maize. Monitor fields from 10–15 days after germination for egg masses and early larval stages. If infestation is observed, apply biological control such as Trichogramma chilonis or Metarhizium anisopliae. For chemical control in severe cases, spray Emamectin Benzoate 5 SG @ 0.4 g/litre or Spinetoram 11.7 SC @ 0.3 ml/litre of water. Apply neem seed kernel extract (NSKE) 5% as a preventive and eco-friendly spray. Always target the whorl region while spraying and repeat the application after 10 days if needed.",फॉल आर्मीवर्म से बचाव के लिए खेत की अच्छी तैयारी और फसल चक्र अपनाएँ। लगातार मक्का की खेती से बचें। अंकुरण के 10–15 दिन बाद से अंडों और छोटे लार्वा की निगरानी करें। प्रकोप होने पर ट्राइकोग्रामा चिलोनीस या मेटारहिजियम एनिसोप्लाए जैसे जैविक नियंत्रण का उपयोग करें। गंभीर स्थिति में इमामेक्टिन बेंजोएट 5 एसजी @ 0.4 ग्राम/लीटर या स्पिनेटोराम 11.7 एससी @ 0.3 मि.ली./लीटर का छिड़काव करें। रोकथाम के लिए नीम बीज अर्क (NSKE) 5% का छिड़काव करें। छिड़काव हमेशा व्हॉर्ल भाग पर करें और आवश्यकता अनुसार 10 दिन बाद दोहराएँ।,pest and disease management,MAIZE_PEST_FAW_PREVENT_001,pest,fall armyworm prevention,vegetative stage,kharif,severe,फॉल आर्मीवर्म,Scout after 10 days → apply emamectin or spinetoram
60,Makke me pila pan aa jata he 30 dino ke bad kya kare,"मक्के में 30 दिनों बाद पीलापन आ जाता है, क्या करें?","In maize, yellowing occurs after 30 days. What should be done?","If maize plants show yellowing after 30 days, it could be due to nitrogen deficiency, water stress, or early pest/disease attack. First, apply a top dressing of urea @ 30–40 kg/acre. Also consider spraying a foliar spray of 19:19:19 or urea solution @ 2% for quick uptake. Ensure proper irrigation—neither waterlogging nor water scarcity should prevail. Examine roots and stems for signs of root borers or stem borers, and if observed, apply Chlorantraniliprole 18.5 SC @ 0.4 ml/litre or Emamectin Benzoate 5 SG @ 0.4 g/litre. Zinc deficiency can also cause yellowing—apply zinc sulfate @ 25 kg/ha if needed.","यदि 30 दिन बाद मक्का के पौधे पीले दिखें, तो यह नाइट्रोजन की कमी, जल तनाव या प्रारंभिक कीट/रोग का संकेत हो सकता है। 30–40 किग्रा प्रति एकड़ यूरिया की टॉप ड्रेसिंग करें। त्वरित सुधार के लिए 19:19:19 या 2% यूरिया का पर्ण छिड़काव करें। सिंचाई संतुलित रखें—न जलभराव हो और न ही सूखा। जड़ों और तनों की जांच करें; यदि तना छेदक या जड़ कीट दिखें तो क्लोरान्ट्रानिलिप्रोल 18.5 एससी @ 0.4 मि.ली./लीटर या इमामेक्टिन बेंजोएट 5 एसजी @ 0.4 ग्राम/लीटर का छिड़काव करें। जिंक की कमी होने पर जिंक सल्फेट @ 25 किग्रा/हेक्टेयर डालें।",soil and nutrient management,MAIZE_NUTRI_YELLOW_30D_001,nutrient,yellowing after 30 days,30 days stage,all seasons,moderate,30 दिन बाद पीलापन,Apply urea top dressing → zinc application if needed
61,Makke me acche utpadan ke liye kya upaay kare?,मक्के में अच्छे उत्पादन के लिए क्या उपाय करें?,What steps should be taken to increase production in maize?,"To increase production in maize, adopt integrated crop management. Use high-yielding hybrid seeds suitable for your region. Maintain row-to-row distance of 60 cm and plant-to-plant spacing of 20 cm. Apply a balanced dose of fertilizers: basal dose of DAP @ 50 kg/acre, followed by top-dressing of urea in two splits (30 and 45 days after sowing). Ensure 2–3 irrigations during critical stages (knee high, tasseling, grain filling). Use neem cake or Trichoderma-treated FYM to enhance soil health. Control weeds in the first 30 days and protect against fall armyworm and stem borers through weekly scouting and timely spray.","मक्का में उत्पादन बढ़ाने के लिए समेकित फसल प्रबंधन अपनाएँ। अपने क्षेत्र के अनुसार उच्च उपज देने वाले हाइब्रिड बीज का चयन करें। कतार से कतार दूरी 60 सेमी और पौधे से पौधे की दूरी 20 सेमी रखें। उर्वरकों की संतुलित मात्रा दें — बेसल डोज में डीएपी 50 किग्रा/एकड़ और 30 व 45 दिन बाद यूरिया की टॉप ड्रेसिंग करें। घुटना अवस्था, टैसलिंग और दाना भरने के समय 2–3 सिंचाई करें। नीम खली या ट्राइकोडर्मा युक्त गोबर खाद का प्रयोग करें। पहले 30 दिनों में खरपतवार नियंत्रण करें और फॉल आर्मीवर्म व तना छेदक की नियमित निगरानी कर समय पर नियंत्रण करें।",soil and nutrient management,MAIZE_YIELD_IMPROVE_001,crop management,yield improvement,all stages,all seasons,preventive,अच्छा उत्पादन,Hybrid seeds → balanced fertilizer → irrigation → pest monitoring
62,"makka khet me chuha kat deta hai makka, keya kare","मक्का के खेत में चूहे फसल काट देते हैं, क्या करें?","In maize fields, rats eat the crop. What can be done?","When rats begin eating crops in the maize field, set up physical and baited rodent traps. Use pre-baiting strategy with raw food like rice or flour for 2 days, followed by poison baits (zinc phosphide 2%) placed deep into burrows or secure stations. Ensure community-wide participation in rodent control to be effective. Maintain field hygiene and harvest crop in time. Repair bunds and avoid storing harvested maize in open fields.","जब मक्का के खेत में चूहे फसल खाना शुरू करें, तो पहले 2 दिन कच्चा चारा जैसे चावल या आटा देकर प्री-बेटिंग करें, फिर 2% जिंक फॉस्फाइड युक्त जहरीला चारा बिलों के अंदर रखें। सामूहिक रूप से चूहा नियंत्रण करना अधिक प्रभावी होता है। खेत की सफाई रखें, समय पर कटाई करें और मेड़ों की मरम्मत करें। कटी हुई फसल को खुले में न रखें।",crop protection and food safety,CROP_PROTECT_RAT_004,crop protection,rat damage field,any stage,all seasons,moderate to severe,चूहा फसल काटना,Use zinc phosphide bait → maintain sanitation
63,Jab makka chota hota hai tho pakshi kat deta hai kya kare,"जब मक्का छोटा होता है तो पक्षी काट देते हैं, क्या करें?","When maize plants are small, birds damage them. What should be done?","Birds like crows and mynas damage young maize plants by pecking at seedlings or cobs. Install scare devices like reflective tapes, bird scarers (using polythene flags), hanging old CDs, or scarecrows. Use metallic sound reflectors or noise-making devices during early morning hours. Nets or mesh can also be used to cover small plots. Avoid sowing near heavily wooded areas where bird nests are common. Community-level synchronized sowing reduces prolonged bird damage.","कौआ और मैना जैसे पक्षी मक्का के पौधों या भुट्टों को नुकसान पहुँचाते हैं। चमकीले टेप, पॉलिथीन झंडे, पुराने सीडी, या बिजूका लगाएँ। सुबह के समय ध्वनि उत्पन्न करने वाले उपकरण उपयोग करें। छोटे खेतों में जाल का उपयोग किया जा सकता है। अधिक पेड़ों वाले क्षेत्रों के पास बुवाई से बचें। सामूहिक बुवाई से पक्षी नुकसान कम होता है।",crop protection and food safety,CROP_PROTECT_BIRD_001,crop protection,bird damage,seedling stage,all seasons,moderate,पक्षी नुकसान,Install reflective tapes → scare devices
64,Makke me bal lagate samay kida lagat he,मक्के में बाल आने के समय कीड़े लग जाते हैं,Pests attack during the tasseling stage in maize. What can be done?,"During the tasseling stage in maize, pests like stem borers and fall armyworms often attack. Inspect the whorl and tassel areas daily. Apply Emamectin Benzoate 5 SG @ 0.4 g/litre or Chlorantraniliprole 18.5 SC @ 0.4 ml/litre if live larvae are observed. Biological options like Trichogramma egg parasitoids can be released 3–4 times at weekly intervals. Keep the fields clean, and do not let weeds grow, as they harbor pests. Adequate spacing and sunlight exposure reduce humidity and limit infestation. Repeat application 7–10 days later if needed.",टैसलिंग अवस्था में तना छेदक और फॉल आर्मीवर्म का प्रकोप अधिक होता है। रोज़ व्हॉर्ल और टैसल की जांच करें। लार्वा दिखने पर इमामेक्टिन बेंजोएट 5 एसजी @ 0.4 ग्राम/लीटर या क्लोरान्ट्रानिलिप्रोल 18.5 एससी @ 0.4 मि.ली./लीटर का छिड़काव करें। ट्राइकोग्रामा जैसे जैविक परजीवी का 3–4 बार साप्ताहिक अंतराल पर प्रयोग करें। खेत को साफ रखें और खरपतवार न बढ़ने दें। आवश्यकता अनुसार 7–10 दिन बाद पुनः छिड़काव करें।,pest and disease management,MAIZE_PEST_TASSEL_STAGE_001,pest,tasseling stage pest,tasseling stage,kharif,severe,टैसल समय कीट,Inspect tassel and whorl → spray insecticide if larvae present
65,"Makke mein dhana poora nahi bhartha hai, kya uppay hai?","मक्के में दाना पूरा नहीं भरता है, क्या उपाय है?","In maize, grains do not fill properly. What is the remedy?","When grains do not fill properly in maize, the problem is usually due to nutrient deficiency, improper pollination, pest damage, or drought stress during the grain-filling stage. Ensure the crop receives proper fertilization, especially nitrogen and potassium at tasseling and silking stages. Apply urea (top dressing) 30–35 days after sowing and again during tasseling. A foliar spray of 2% urea or 1.5% potassium nitrate can also help. Ensure regular irrigation during flowering and grain formation, as water stress at this stage can severely affect grain development. Also, check for cob borers or stem borers and control them with Emamectin Benzoate 5 SG @ 0.4 g/litre if present. Proper spacing, timely sowing, and pest management improve pollination and ensure grains develop uniformly.","जब मक्का में दाने ठीक से नहीं भरते हैं, तो इसका मुख्य कारण पोषक तत्वों की कमी, परागण की समस्या, कीट प्रकोप या दाना भरने की अवस्था में सूखा तनाव होता है। टैसलिंग और सिल्किंग अवस्था में फसल को पर्याप्त नाइट्रोजन और पोटाश दें। बुवाई के 30–35 दिन बाद और टैसलिंग के समय यूरिया की टॉप ड्रेसिंग करें। 2% यूरिया या 1.5% पोटेशियम नाइट्रेट का फोलियर स्प्रे भी लाभकारी होता है। फूल आने और दाना बनने के समय नियमित सिंचाई करें, क्योंकि इस अवस्था में पानी की कमी से दाना विकास प्रभावित होता है। भुट्टा छेदक या तना छेदक की उपस्थिति की जांच करें और पाए जाने पर इमामेक्टिन बेंजोएट 5 एसजी @ 0.4 ग्राम/लीटर का छिड़काव करें। उचित दूरी, समय पर बुवाई और कीट नियंत्रण से दाने समान रूप से विकसित होते हैं।",soil and nutrient management,MAIZE_GRAIN_FILL_POOR_003,nutrient,poor grain filling,grain filling stage,all seasons,moderate to severe,दाना नहीं भरना,Apply urea + potassium → irrigation during grain filling
66,makka me kharpatoar kaise kare,मक्का में खरपतवार नियंत्रण कैसे करें?,How to control weeds in maize?,"To control weeds in maize, weed management should begin within the first 20–30 days of sowing, which is the critical period. Use pre-emergence herbicide Atrazine 50 WP @ 500 g per acre mixed in 200 litres of water, applied within 2 days of sowing. For post-emergence control, use Tembotrione 34.4 SC @ 1.2 ml/litre of water, applied 15–20 days after sowing. Manual weeding or intercultivation can also be done between rows around 20 and 35 days after sowing. Avoid late weeding, as weeds compete with the crop for nutrients and sunlight. Use a hoe or mechanical weeders to stir the soil and uproot weeds. Keeping the field clean during early crop stages ensures higher maize yields and reduces pest problems.",मक्का में खरपतवार नियंत्रण बुवाई के पहले 20–30 दिनों के भीतर करना चाहिए क्योंकि यह संवेदनशील अवधि होती है। बुवाई के 2 दिन के भीतर एट्राजीन 50 डब्ल्यूपी @ 500 ग्राम प्रति एकड़ को 200 लीटर पानी में मिलाकर प्री-इमर्जेंस के रूप में छिड़कें। 15–20 दिन बाद पोस्ट-इमर्जेंस के लिए टेम्बोट्रियोन 34.4 एससी @ 1.2 मि.ली./लीटर पानी का प्रयोग करें। 20 और 35 दिन बाद हाथ से निराई या इंटरकल्टीवेशन भी किया जा सकता है। देर से निराई न करें क्योंकि खरपतवार पोषक तत्व और धूप के लिए प्रतिस्पर्धा करते हैं। खुरपी या यांत्रिक निराई यंत्र का उपयोग करें। शुरुआती अवस्था में खेत साफ रखने से उत्पादन बढ़ता है और कीट समस्या कम होती है।,weed management,MAIZE_WEED_CONTROL_001,weed,weed_control,early vegetative,kharif,moderate,"खरपतवार, घास",If weeds appear early → apply atrazine pre-emergence → manual weeding after 20 days
67,Makka ke paudha me pata pila ho jata hai kya kare,"मक्के के पौधे के पत्ते पीले हो जाते हैं, क्या करें?","In maize plants, the leaves turn yellow. What should be done?","During sowing, if rats eat the maize seeds from the soil, it can lead to significant crop loss. The best approach is to practice pre-baiting before sowing using non-poisonous food materials like cracked maize or bajra, followed by poisoned baits containing zinc phosphide (2%) after two days. Place the baits deep into burrows or in bait stations along bunds. Do not place poison baits in open fields to avoid harming livestock or birds. In severe cases, use bromadiolone wax blocks in tamper-proof bait stations. Also, sow in moist soil where the rats cannot easily dig, and avoid leaving seed sacks or waste in the field. Planting at the same time as neighbors helps reduce localized rat pressure. Keeping field bunds clean and applying cow dung slurry with chili powder at entry points is also helpful in deterring rats naturally.","यदि बुवाई के समय चूहे मिट्टी से मक्का के बीज खा जाते हैं, तो इससे फसल को भारी नुकसान होता है। बुवाई से पहले बिना जहर वाले चारे जैसे टूटा मक्का या बाजरा से प्री-बेटिंग करें, फिर दो दिन बाद 2% जिंक फॉस्फाइड युक्त जहरीला चारा बिलों में रखें। चारे को खुले खेत में न रखें ताकि पशु या पक्षियों को नुकसान न हो। अधिक प्रकोप की स्थिति में ब्रॉमाडियोलोन वैक्स ब्लॉक्स का उपयोग सुरक्षित चारा स्टेशनों में करें। नम मिट्टी में बुवाई करें ताकि चूहे आसानी से खुदाई न कर सकें और खेत में बीज या अपशिष्ट न छोड़ें। पड़ोसी किसानों के साथ एक ही समय पर बुवाई करने से चूहों का दबाव कम होता है। खेत की मेड़ों को साफ रखें और प्रवेश स्थानों पर गोबर घोल में मिर्च पाउडर मिलाकर लगाने से भी चूहों को प्राकृतिक रूप से रोका जा सकता है।",soil and nutrient management,MAIZE_NUTRI_YELLOWING_001,nutrient,leaf_yellowing,vegetative,all seasons,moderate,पत्ते पीले,If leaves yellow → check nitrogen → apply urea → check irrigation
68,Makke me tana chhedak ka upaay bataiye?,मक्के में तना छेदक का उपाय बताइए,What is the remedy for stem borer in maize?,"Stem borer in maize is a major pest that affects the plant by boring through the stem, which can cause stunted growth, dead hearts (where the central leaf dies), and poor cob development. The problem often begins when adult moths lay eggs on the underside of leaves, and the larvae then burrow into the stalk. To manage this pest, farmers must act early. Around 20–25 days after sowing, apply insecticides like Chlorantraniliprole or Emamectin benzoate, which are effective in controlling the larvae before they enter the stem. It is also useful to use pheromone traps in the field to monitor and reduce adult moth populations. These traps attract the moths and prevent them from laying eggs. Crop residues and stubble left in the field after harvest should be destroyed or deeply ploughed under, as they often harbor pupae that cause infestations in the next crop. Crop rotation is another important practice—avoid planting maize continuously in the same field year after year, as this encourages pest build-up. Maintaining a clean field, choosing pest-resistant hybrid varieties, and practicing timely sowing all contribute to effective stem borer management.","मक्का में तना छेदक एक प्रमुख कीट है जो तने में छेद करके पौधे की वृद्धि रोक देता है, जिससे बीच की पत्ती सूखकर “डेड हार्ट” बन जाती है और भुट्टा विकास कमजोर हो जाता है। इसकी शुरुआत तब होती है जब पतंगे पत्तियों की निचली सतह पर अंडे देते हैं और लार्वा तने के अंदर घुस जाते हैं। इसके नियंत्रण के लिए 20–25 दिन बाद क्लोरैन्ट्रानिलिप्रोल या इमामेक्टिन बेंजोएट का छिड़काव करें ताकि लार्वा तने में प्रवेश करने से पहले ही नष्ट हो जाएं। खेत में फेरोमोन ट्रैप लगाना भी उपयोगी है, जिससे वयस्क पतंगों की संख्या कम होती है। फसल कटाई के बाद खेत में बचे अवशेषों को नष्ट करें या गहरी जुताई करें क्योंकि इनमें प्यूपा छिपे रहते हैं। लगातार एक ही खेत में मक्का न बोएं, फसल चक्र अपनाएं। साफ खेत, प्रतिरोधी किस्में और समय पर बुवाई से इस कीट का प्रभावी नियंत्रण संभव है।",pest and disease management,MAIZE_PEST_STEMBORER_001,pest,stem_borer_attack,vegetative,kharif,severe,"तना छेदक, पिल्लू",If stem borer signs → install pheromone traps → spray emamectin or chlorantraniliprole
69,"Makke mein ek mahine ke bad keeda kaatke paudha ko gira detha hai, kya illaj hai?","मक्के में एक महीने बाद कीड़े काटकर पौधे को गिरा देते हैं, क्या इलाज है?","One month after sowing maize, pests cut the plants and cause them to fall. What is the treatment?","If one month after sowing maize, the young plants are being cut at the base and falling over, it is likely due to cutworms or shoot fly infestation. These pests typically attack during early stages, especially when the weather is moist and cool, and they are most active at night. The cutworms hide in the soil during the day and come out to feed at night, cutting through the stem near the ground. To control this, apply an insecticide like Chlorpyrifos or Lambda-cyhalothrin around the base of the plants during evening hours when the pests are most active. Granular insecticides like Carbofuran can also be applied near the root zone, followed by light irrigation to help it reach where the larvae are hiding. It is important to monitor the field closely during the first month after sowing, especially after rain or irrigation, since damp soil encourages pest activity. Clearing weeds and crop residues from the field and bunds helps in reducing the shelter for these pests. Re-sowing in the affected patches should be done as early as possible to maintain uniform crop maturity. Also, using light traps in the field helps to attract and kill adult moths and flies, reducing future larval attacks.","यदि बुवाई के एक महीने बाद मक्का के पौधे जमीन के पास से कटकर गिर रहे हों, तो यह कटवर्म या शूट फ्लाई का प्रकोप हो सकता है। ये कीट नम और ठंडे मौसम में सक्रिय रहते हैं और रात में पौधों को काटते हैं। नियंत्रण के लिए शाम के समय पौधों के आधार के पास क्लोरपाइरीफॉस या लैम्ब्डा-सायहैलोथ्रिन का प्रयोग करें। कार्बोफ्यूरान जैसे दानेदार कीटनाशक को जड़ क्षेत्र में डालकर हल्की सिंचाई करें ताकि दवा मिट्टी में छिपे लार्वा तक पहुंच सके। पहले महीने में विशेष निगरानी रखें, खासकर बारिश या सिंचाई के बाद। खेत और मेड़ों से खरपतवार और अवशेष हटाएं ताकि कीटों का आश्रय कम हो। प्रभावित स्थानों पर समय पर पुनः बुवाई करें ताकि फसल समान रूप से बढ़े। खेत में लाइट ट्रैप लगाने से वयस्क पतंगे और मक्खियां आकर्षित होकर नष्ट होती हैं, जिससे आगे का प्रकोप कम होता है।",pest and disease management,MAIZE_PEST_CUTWORM_001,pest,cutworm_attack,seedling stage,kharif,severe,कटवर्म,If seedlings cut at base → inspect soil pests → apply chlorpyrifos near root zone
70,"मक्के में, एक महीने के बाद, कीड़े काटकर पौधे को गिरा देते हैं, इसका इलाज क्या है?","मक्के में एक महीने बाद कीड़े काटकर पौधे को गिरा देते हैं, इसका इलाज क्या है?","In maize, one month after sowing, pests cut the plants causing them to fall. What is the treatment?","When maize plants are cut and fall over one month after sowing, this again points to early pest attacks such as cutworms or shoot fly. These pests damage the crop silently at night, and by the time the damage is noticed, it can be severe. The solution is to use protective measures right from sowing. Treat seeds before sowing with appropriate insecticides or bio-pesticides. Once the crop is established, apply soil insecticides like Carbofuran around the base of plants and water lightly to activate the granules. Keep the field clean and avoid dense weed growth which gives pests a place to hide. Using light traps at night attracts adult insects and reduces the number of eggs being laid. Repeat monitoring after every rainfall, as wet soil conditions often lead to pest outbreaks. In affected patches, replanting should be done quickly. Consistent vigilance in the first 30–40 days of the crop can save it from heavy damage and yield loss.","यदि बुवाई के एक महीने बाद मक्का के पौधे कटकर गिरने लगते हैं, तो यह प्रारंभिक कीट जैसे कटवर्म या शूट फ्लाई के प्रकोप का संकेत है। ये कीट रात में चुपचाप नुकसान करते हैं और जब तक पता चलता है तब तक क्षति अधिक हो चुकी होती है। इसका समाधान बुवाई से ही सुरक्षा उपाय अपनाना है। बुवाई से पहले बीजों को उपयुक्त कीटनाशक या जैव-कीटनाशक से उपचारित करें। फसल स्थापित होने के बाद पौधों के आधार के पास कार्बोफ्यूरान जैसे मिट्टी में देने वाले कीटनाशक का प्रयोग करें और हल्की सिंचाई करें ताकि दाने सक्रिय हो सकें। खेत को साफ रखें और अधिक खरपतवार न बढ़ने दें क्योंकि ये कीटों को छिपने का स्थान देते हैं। रात में लाइट ट्रैप लगाने से वयस्क कीट आकर्षित होते हैं और अंडे देने की संख्या कम होती है। प्रत्येक वर्षा के बाद निगरानी दोहराएं क्योंकि गीली मिट्टी की स्थिति में कीट प्रकोप बढ़ता है। प्रभावित स्थानों पर शीघ्र पुनः रोपण करें। पहले 30–40 दिनों तक निरंतर निगरानी से भारी नुकसान और उपज हानि से बचा जा सकता है।",pest and disease management,MAIZE_PEST_CUTWORM_002,pest,cutworm_attack,seedling stage,kharif,severe,कटवर्म,If plants falling early → apply soil insecticide → monitor field regularly
71,Makka ke sowing ke samay me rat bhot pareshan karte he,मक्का की बुवाई के समय चूहे बहुत परेशान करते हैं,"During maize sowing, rats cause a lot of trouble. What to do?","During maize sowing, if rats are causing damage, it is crucial to reduce their numbers and eliminate their hiding places before the sowing begins. Rats often take shelter in bunds, garbage piles, or leftover stubble, so clearing the field margins and burning crop residues is a good first step. Use traps and baits such as zinc phosphide mixed with crushed grains or jaggery. These baits should be placed in active burrows and should be checked and refreshed every day for at least a week. Blocking all rat burrows using soil and heavy stamping in the early morning or evening helps prevent them from entering the field again. Applying a thin coating of neem oil or castor oil on seeds can also make them unappealing to rats. If the problem persists, contact the local agricultural officer who may provide support for large-scale rodent control.","मक्का की बुवाई के दौरान यदि चूहे नुकसान कर रहे हों, तो बुवाई से पहले उनकी संख्या कम करना और उनके छिपने के स्थान खत्म करना आवश्यक है। चूहे मेड़ों, कचरे के ढेर या बचे ठूंठों में छिपते हैं, इसलिए खेत की सीमाओं की सफाई और फसल अवशेष जलाना पहला कदम है। जिंक फॉस्फाइड को कुचले अनाज या गुड़ के साथ मिलाकर चारे के रूप में प्रयोग करें। यह चारा सक्रिय बिलों में रखें और कम से कम एक सप्ताह तक प्रतिदिन जांचकर बदलें। सुबह या शाम के समय बिलों को मिट्टी से बंद कर दें ताकि वे पुनः खेत में प्रवेश न कर सकें। बीजों पर नीम तेल या अरंडी तेल की हल्की परत लगाने से भी वे चूहों के लिए कम आकर्षक हो जाते हैं। समस्या बनी रहने पर स्थानीय कृषि अधिकारी से संपर्क करें, जो बड़े स्तर पर नियंत्रण के लिए सहायता प्रदान कर सकते हैं।",crop protection and food safety,MAIZE_RODENT_SOWING_DAMAGE_001,crop protection,rat_damage_sowing,sowing stage,all seasons,moderate to severe,चूहा नुकसान,If rats damage seeds → use zinc phosphide bait → clean bunds and burrows
72,Makka mein pillu kit ka ilaj bataiye?,मक्के में पिल्लू कीट का इलाज बताइए,What is the treatment for stem borer in maize?,"Stem borer in maize is a dangerous pest that can silently reduce yield if not addressed early. Once the larvae enter the plant's stem, it becomes hard to kill them with pesticides, so prevention is better than cure. It is best to spray insecticides like Emamectin benzoate or Chlorantraniliprole when the maize plants are about 20–25 days old and show early signs of borer damage. These chemicals work on the larval stage and prevent them from boring into the stem. Use pheromone traps to detect the presence of adult moths and light traps to reduce their population. Removing infected plant parts and destroying them is also necessary to prevent the spread. After harvest, make sure to plough the field deeply to expose and destroy hidden pupae. Avoid back-to-back maize cropping and rotate with legumes or vegetables to break the pest lifecycle.","मक्का में तना छेदक (स्टेम बोरर) एक खतरनाक कीट है जो समय पर नियंत्रण न करने पर चुपचाप उपज कम कर देता है। जब लार्वा तने के अंदर घुस जाते हैं, तब उन्हें मारना मुश्किल हो जाता है, इसलिए रोकथाम जरूरी है। 20–25 दिन की फसल अवस्था में, जब शुरुआती लक्षण दिखाई दें, तब इमामेक्टिन बेंजोएट या क्लोरेंट्रानिलिप्रोल का छिड़काव करें। ये दवाएं लार्वा अवस्था पर असर करती हैं और उन्हें तने में घुसने से रोकती हैं। वयस्क पतंगों की पहचान के लिए फेरोमोन ट्रैप लगाएं और उनकी संख्या कम करने के लिए लाइट ट्रैप का उपयोग करें। संक्रमित पौधों के भागों को निकालकर नष्ट करें ताकि फैलाव रुके। कटाई के बाद गहरी जुताई करें जिससे मिट्टी में छिपे प्यूपा नष्ट हो जाएं। लगातार मक्का की खेती से बचें और दलहनी या सब्जी फसलों के साथ फसल चक्र अपनाएं।",pest and disease management,MAIZE_PEST_STEMBORER_002,pest,stem_borer_attack,vegetative,kharif,severe,पिल्लू कीट,If pillu pest observed → spray emamectin benzoate → remove infected plants
73,Makka ka patta pila pad raha h upaay bataiye?,"मक्के के पत्ते पीले पड़ रहे हैं, उपाय बताइए",Maize leaves are turning yellow. What is the remedy?,"If the maize leaves are turning yellow, it could be due to a nutrient deficiency, especially of nitrogen, or water stress. The first thing to do is to apply urea, which is rich in nitrogen. About 45–50 kg per acre should be applied in two splits—one at 20 days and another at 40 days after sowing. Yellowing can also be caused by iron or sulfur deficiency, in which case foliar sprays of micronutrients may be needed. Water the field adequately, especially during dry spells, as poor water supply prevents nutrient absorption. Check the pH of the soil too—if the soil is too acidic or alkaline, nutrients will not be absorbed well even if they are present. If pest attack is causing yellowing (like sucking insects), apply a suitable insecticide after consulting the local agriculture office.","यदि मक्का की पत्तियां पीली हो रही हैं, तो इसका कारण प्रायः नाइट्रोजन की कमी या पानी की कमी होता है। ऐसे में यूरिया का प्रयोग करें। लगभग 45–50 किलो प्रति एकड़ यूरिया दो बार दें—एक बार 20 दिन पर और दूसरी बार 40 दिन पर। आयरन या सल्फर की कमी होने पर सूक्ष्म पोषक तत्वों का फोलियर स्प्रे करें। सूखे मौसम में नियमित सिंचाई करें क्योंकि पानी की कमी से पोषक तत्वों का अवशोषण रुक जाता है। मिट्टी का पीएच भी जांचें क्योंकि बहुत अधिक अम्लीय या क्षारीय मिट्टी में पोषक तत्व उपलब्ध नहीं हो पाते। यदि रस चूसने वाले कीटों के कारण पीलापन हो रहा हो, तो उपयुक्त कीटनाशक का प्रयोग करें।",soil and nutrient management,MAIZE_NUTRI_LEAF_YELLOWING_002,nutrient,nitrogen_deficiency,vegetative,all seasons,moderate,पीलापन,If yellow leaves widespread → apply nitrogen fertilizer → check water supply
74,"Makke mein dana bhura pad jata hain, dana nahi banta hain upaay bataye?","मक्के में दाना भूरा पड़ जाता है और दाना नहीं बनता है, उपाय बताएं","In maize, grains turn brown and do not fill properly. What is the remedy?","When maize grains turn brown and don’t fill properly, the most likely reasons are poor pollination, pest damage, or nutrient and water stress during the grain-filling stage. It’s important to ensure that there is sufficient nitrogen and potash during the flowering and cob development stages, which helps the plant produce full, healthy grains. Lack of water during this critical period can also cause grains to shrivel. You should irrigate the field properly during the tasseling and silking stages. Pests such as cob borers also damage the developing grains, causing browning and emptiness, so using insecticides like Chlorantraniliprole at the right stage is important. Also, ensure that the variety of maize being used is suitable for the region and has good grain-filling traits.","यदि मक्का के दाने भूरे हो रहे हैं और ठीक से नहीं भर रहे हैं, तो यह खराब परागण, कीट क्षति, या दाने भरने के समय पोषण और पानी की कमी के कारण होता है। फूल आने और भुट्टा बनने के समय पर्याप्त नाइट्रोजन और पोटाश देना आवश्यक है ताकि दाने अच्छे से विकसित हों। इस अवस्था में पानी की कमी से दाने सिकुड़ जाते हैं, इसलिए टैसलिंग और सिल्किंग के समय सिंचाई जरूर करें। भुट्टा छेदक जैसे कीट भी विकसित होते दानों को नुकसान पहुंचाते हैं, इसलिए सही समय पर क्लोरेंट्रानिलिप्रोल का छिड़काव करें। साथ ही क्षेत्र के अनुसार उपयुक्त किस्म का चयन करें जिसमें दाना भरने की क्षमता अच्छी हो।",soil and nutrient management,MAIZE_GRAIN_FILL_POOR_001,nutrient,poor_grain_filling,tasseling to grain filling,kharif,moderate to severe,दाना नहीं भरना,If grain not filling → irrigate during tasseling → apply NPK fertilizers
